Property Type,Area,Region,Complex Name,Year,Home Type,Price
2-комнатная квартира,55.5 м²,"Астана, Нура р-н",Altyn Besik,2024,монолитный,19980000
3-комнатная квартира,101.03 м²,"Астана, Нура р-н",Evolution,2024,монолитный,55566500
1-комнатная квартира,41.29 м²,"Астана, Нура р-н",Delta,2024,монолитный,15400000
1-комнатная квартира,44.31 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,24503430
1-комнатная квартира,39.94 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,18092820
3-комнатная квартира,67.15 м²,"Астана, Нура р-н",Arena city,2024,монолитный,25584150
3-комнатная квартира,118.67 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,74406090
3-комнатная квартира,88.4 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,42432000
1-комнатная квартира,38.49 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,20207250
3-комнатная квартира,84.75 м²,"Астана, Нура р-н",ONAI,2024,монолитный,32544000
4-комнатная квартира,133.44 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,57779520
4-комнатная квартира,149.14 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,102906600
3-комнатная квартира,58.29 м²,"Астана, Нура р-н",Arena city,2024,монолитный,22499940
1-комнатная квартира,38.34 м²,"Астана, Нура р-н",Delta,2024,монолитный,14300000
1-комнатная квартира,41.9 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,19064500
1-комнатная квартира,48.34 м²,"Астана, Нура р-н",West Side,2024,монолитный,19819400
4-комнатная квартира,116.84 м²,"Астана, Нура р-н",GreenLine.Viva,2024,монолитный,62859920
4-комнатная квартира,127.96 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,48624800
1-комнатная квартира,42.01 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,28272730
3-комнатная квартира,107.27 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,48271500
3-комнатная квартира,107.66 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,56521500
3-комнатная квартира,86.09 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,35296900
3-комнатная квартира,110.36 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,46130480
3-комнатная квартира,99.88 м²,"Астана, Нура р-н",Evolution,2024,монолитный,54934000
3-комнатная квартира,107.47 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,46212100
1-комнатная квартира,48.2 м²,"Астана, Нура р-н",Arena city,2024,монолитный,21159800
3-комнатная квартира,98.39 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,46144910
1-комнатная квартира,31.71 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,16219665
4-комнатная квартира,132.84 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,81962280
1-комнатная квартира,43.24 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,17047370
1-комнатная квартира,47.09 м²,"Астана, Нура р-н",Arena city,2024,монолитный,21143410
1-комнатная квартира,41.71 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,18978050
1-комнатная квартира,36.89 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,14719110
4-комнатная квартира,130.07 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,79212630
3-комнатная квартира,74.46 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,41325300
3-комнатная квартира,99.04 м²,"Астана, Нура р-н",Evolution,2024,монолитный,54472000
1-комнатная квартира,44.96 м²,"Астана, Нура р-н",West Side,2024,монолитный,18433600
4-комнатная квартира,88.33 м²,"Астана, Нура р-н",Arena city,2024,монолитный,34183710
1-комнатная квартира,31.84 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,17639360
1-комнатная квартира,42.22 м²,"Астана, Нура р-н",ONAI,2024,монолитный,19083440
3-комнатная квартира,71.23 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,25714030
3-комнатная квартира,112.05 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,70143300
1-комнатная квартира,41.25 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,15949312
1-комнатная квартира,41.45 м²,"Астана, Нура р-н",West Side,2024,монолитный,16994500
1-комнатная квартира,38.53 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,17531150
1-комнатная квартира,39.68 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,18054400
4-комнатная квартира,125 м²,"Астана, Нура р-н",Evolution,2024,монолитный,67500000
4-комнатная квартира,116.26 м²,"Астана, Нура р-н",Delta,2024,монолитный,40100000
3-комнатная квартира,84.76 м²,"Астана, Нура р-н",West Side,2024,монолитный,33056400
4-комнатная квартира,130.64 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,49643200
4-комнатная квартира,119.38 м²,"Астана, Нура р-н",Атмосфера 2,2024,монолитный,45961300
5-комнатная квартира,172.59 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,96477810
4-комнатная квартира,136.77 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,82062000
1-комнатная квартира,42.81 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,19221690
4-комнатная квартира,146.87 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,102074650
3-комнатная квартира,75.11 м²,"Астана, Нура р-н",Arena city,2024,монолитный,27865810
1-комнатная квартира,43.51 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,21667980
3-комнатная квартира,99.05 м²,"Астана, Нура р-н",Evolution,2024,монолитный,54477500
3-комнатная квартира,80.11 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,30822322
1-комнатная квартира,38.11 м²,"Астана, Нура р-н",Delta,2024,монолитный,14400000
1-комнатная квартира,42.84 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,21120120
3-комнатная квартира,78.27 м²,"Астана, Нура р-н",Sultan Beibarys,2024,монолитный,30114382
3-комнатная квартира,107.32 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,58704040
3-комнатная квартира,62.85 м²,"Астана, Нура р-н",ONAI,2024,монолитный,25202850
3-комнатная квартира,80.2 м²,"Астана, Нура р-н",Sezim Qala.Baqyt Towers,2024,монолитный,30796800
1-комнатная квартира,48.26 м²,"Астана, Нура р-н",West Side,2024,монолитный,19786600
3-комнатная квартира,81.58 м²,"Астана, Нура р-н",GreenLine.Flora,2024,монолитный,43482140
1-комнатная квартира,41.54 м²,"Астана, Нура р-н",Tumar Club,2024,монолитный,20915390
3-комнатная квартира,98.92 м²,"Астана, Нура р-н",Honnete,2024,монолитный,42500000
5-комнатная квартира,186 м²,"Астана, Нура р-н",RAUDA,2024,монолитный,111600000
3-комнатная квартира,107.9 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,48770800
3-комнатная квартира,90.54 м²,"Астана, Нура р-н",Delta,2024,монолитный,28900000
4-комнатная квартира,137.8 м²,"Астана, Нура р-н",GreenLine.Tokyo,2024,монолитный,84000000
3-комнатная квартира,70.04 м²,"Астана, Нура р-н",Arena Garden,2024,монолитный,25564600
4-комнатная квартира,110.95 м²,"Астана, Нура р-н",GreenLine.Atmosfera,2024,монолитный,47930400
3-комнатная квартира,76.53 м²,"Астана, Нура р-н",Arena Towers,2024,монолитный,33596670
1-комнатная квартира,45.42 м²,"Астана, Нура р-н",Delta,2024,монолитный,16351200
1-комнатная квартира,39.92 м²,"Астана, Нура р-н",EcoPark,2024,монолитный,18163600
3-комнатная квартира,72.2 м²,"Астана, Нура р-н",Altyn Besik,2024,монолитный,25992000
3-комнатная квартира,81.06 м²,"Астана, Нура р-н",Arena city,2024,монолитный,29667960
3-комнатная квартира,109.59 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,69370470
3-комнатная квартира,103.01 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,64381250
3-комнатная квартира,109.6 м²,"Астана, Нура р-н",GreenLine.Headliner Exclusive,2024,монолитный,66595000
3-комнатная квартира,76.96 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,41173600
3-комнатная квартира,111.27 м²,"Астана, Есильский р-н",Prime,2024,монолитный,60085800
3-комнатная квартира,109.87 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,96685600
4-комнатная квартира,99.09 м²,"Астана, Есильский р-н",Assyl Tau,2024,монолитный,43599600
5-комнатная квартира,200.01 м²,"Астана, Есильский р-н",Triumph Exclusive,2024,монолитный,150007500
4-комнатная квартира,140.02 м²,"Астана, Есильский р-н",Amal',2024,монолитный,51807400
1-комнатная квартира,31.44 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,13362000
3-комнатная квартира,91 м²,"Астана, Есильский р-н",BUQAR JYRAU EXCLUSIVE,2024,монолитный,54159053
1-комнатная квартира,38.94 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,16361967
4-комнатная квартира,120.98 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,66418020
4-комнатная квартира,129.64 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,55485920
3-комнатная квартира,111.12 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,62782800
4-комнатная квартира,124.27 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,72573680
3-комнатная квартира,102.6 м²,"Астана, Есильский р-н",BUQAR JYRAU EXCLUSIVE,2024,монолитный,52481140
1-комнатная квартира,40.91 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,18818600
1-комнатная квартира,39.08 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,21103200
4-комнатная квартира,132.78 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,72365100
3-комнатная квартира,101.7 м²,"Астана, Есильский р-н",Prime,2024,монолитный,54612900
1-комнатная квартира,43.68 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,18332452
1-комнатная квартира,46.1 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,21206000
3-комнатная квартира,73.75 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,28688750
3-комнатная квартира,71.65 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,30979357
1-комнатная квартира,37.11 м²,"Астана, Есильский р-н",Grand Turan,2024,монолитный,21969120
3-комнатная квартира,99.13 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,42625900
3-комнатная квартира,80.11 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,51590840
3-комнатная квартира,74.71 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,42435280
3-комнатная квартира,117.81 м²,"Астана, Есильский р-н",Zangar,2024,монолитный,61850250
4-комнатная квартира,110.3 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,62319500
3-комнатная квартира,107.31 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,95505900
4-комнатная квартира,173.86 м²,"Астана, Есильский р-н",Triumph Exclusive,2024,монолитный,130395000
1-комнатная квартира,44 м²,"Астана, Есильский р-н",BUQAR JYRAU EXCLUSIVE,2024,монолитный,26922864
4-комнатная квартира,140 м²,"Астана, Есильский р-н",Amal',2024,монолитный,51800000
1-комнатная квартира,53.78 м²,"Астана, Есильский р-н",Zangar,2024,монолитный,29310100
3-комнатная квартира,107.51 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,59130500
3-комнатная квартира,103.23 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,43356600
3-комнатная квартира,115.14 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,51813000
1-комнатная квартира,43.26 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,23360400
4-комнатная квартира,114.93 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,59763600
3-комнатная квартира,79.69 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,71721000
1-комнатная квартира,47.37 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,28848330
3-комнатная квартира,89.54 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,33778432
1-комнатная квартира,43.21 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,22814880
4-комнатная квартира,120.57 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,62696400
3-комнатная квартира,94.23 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,48999600
4-комнатная квартира,171.17 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,150629600
1-комнатная квартира,43.6 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,18748000
1-комнатная квартира,43.13 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,26136780
3-комнатная квартира,96.65 м²,"Астана, Есильский р-н",Grand Turan,2024,монолитный,45038900
1-комнатная квартира,50.96 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,29047200
1-комнатная квартира,43.63 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,28621280
4-комнатная квартира,132.18 м²,"Астана, Есильский р-н",Prime,2024,монолитный,81951600
1-комнатная квартира,43.74 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,18357634
1-комнатная квартира,45.3 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,18120000
3-комнатная квартира,87.18 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,46641300
3-комнатная квартира,91.97 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,47364550
3-комнатная квартира,122.75 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,109247500
4-комнатная квартира,138.03 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,71913630
3-комнатная квартира,94.27 м²,"Астана, Есильский р-н",Grand Turan,2024,монолитный,43647010
1-комнатная квартира,38.5 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,18287500
3-комнатная квартира,121.66 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,107060800
3-комнатная квартира,91.23 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,46527300
4-комнатная квартира,133.33 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,58265210
3-комнатная квартира,115.52 м²,"Астана, Есильский р-н",Prime,2024,монолитный,61687680
4-комнатная квартира,126.94 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,69309240
3-комнатная квартира,93.6 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,60512400
3-комнатная квартира,94.43 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,52975230
3-комнатная квартира,72.37 м²,"Астана, Есильский р-н",Tumar Residence,2024,монолитный,30638925
1-комнатная квартира,47.66 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,25736400
3-комнатная квартира,102.73 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,59377940
1-комнатная квартира,41.6 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,17033078
3-комнатная квартира,82.11 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,49019670
3-комнатная квартира,105.56 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,54891200
1-комнатная квартира,37.88 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,18599080
3-комнатная квартира,74.55 м²,"Астана, Есильский р-н",Jetisu.Kerbez,2024,монолитный,28999950
3-комнатная квартира,105.91 м²,"Астана, Есильский р-н",Prime,2024,монолитный,56026390
1-комнатная квартира,50.51 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,20911140
3-комнатная квартира,103.93 м²,"Астана, Есильский р-н",Prime,2024,монолитный,54875040
3-комнатная квартира,85.57 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,44496400
4-комнатная квартира,167.75 м²,"Астана, Есильский р-н",Dara Residence,2024,монолитный,152652500
1-комнатная квартира,52.73 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,22673900
4-комнатная квартира,121.32 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,63086400
1-комнатная квартира,44.18 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,21206400
4-комнатная квартира,105.91 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,42681730
2-комнатная квартира,56.34 м²,"Астана, Есильский р-н",Dastur,2024,монолитный,22463550
2-комнатная квартира,62.48 м²,"Астана, Есильский р-н",Capital Park. Flowers,2024,монолитный,29615520
2-комнатная квартира,64.55 м²,"Астана, Есильский р-н",Nexpo Union,2024,монолитный,43054850
2-комнатная квартира,73.91 м²,"Астана, Есильский р-н",Capital Park. Light,2024,монолитный,40354860
2-комнатная квартира,43.8 м²,"Астана, Есильский р-н",Aiva,2024,монолитный,17520000
2-комнатная квартира,46.68 м²,"Астана, Есильский р-н",MoD.Comfort,2024,монолитный,23573400
2-комнатная квартира,66.99 м²,"Астана, Есильский р-н",Arai Towers,2024,монолитный,29475600
2-комнатная квартира,64.25 м²,"Астана, Есильский р-н",AIQYN,2024,монолитный,35337500
2-комнатная квартира,60.42 м²,"Астана, Есильский р-н",Talmas,2024,монолитный,31720500
2-комнатная квартира,68 м²,"Астана, Есильский р-н",BUQAR JYRAU EXCLUSIVE,2024,монолитный,43314341
2-комнатная квартира,65.78 м²,"Астана, Есильский р-н",Zangar,2024,монолитный,35521200
2-комнатная квартира,71.64 м²,"Астана, Есильский р-н",Prime,2024,монолитный,39402000
2-комнатная квартира,52.07 м²,"Астана, Есильский р-н",GreenLine.Tokyo,2024,монолитный,30721300
